id_street,number,original_n,source,author,date,coordinate,first_day,first_month,first_year,last_day,last_month,last_year
12,31.0,31,"Livro de Emplacamento. n,27. p,269",Cintia,8/10/2018,POINT(-46.63253178666728 -23.550119057161673),9.0,11.0,1940.0,9.0,11.0,1940.0
12,70.0,70,"Livro de Emplacamento. n,27. p,269",Cintia,8/10/2018,POINT(-46.632741685133844 -23.550194188714226),9.0,12.0,1940.0,,,
12,28.0,28,"Livro de Emplacamento. n,27. p,269",Cintia,8/10/2018,POINT(-46.632741685133844 -23.550194188714226),9.0,11.0,1940.0,9.0,11.0,1940.0
12,76.0,76,"Livro de Emplacamento. n,27. p,269",Cintia,8/10/2018,POINT(-46.63268692901213 -23.550174589178777),9.0,12.0,1940.0,,,
12,28.0,28A,"Livro de Emplacamento. n,27. p,269",Cintia,8/10/2018,POINT(-46.63268692901213 -23.550174589178777),9.0,11.0,1940.0,9.0,11.0,1940.0
12,86.0,86,"Livro de Emplacamento. n,27. p,269",Cintia,8/10/2018,POINT(-46.63259566880928 -23.55014192328636),9.0,12.0,1940.0,,,
12,32.0,32,"Livro de Emplacamento. n,27. p,269",Cintia,8/10/2018,POINT(-46.63259566880928 -23.55014192328636),9.0,11.0,1940.0,9.0,11.0,1940.0
13,8.0,8,"Livro de Emplacamento. n,27. p,123",Cintia,8/10/2018,POINT(-46.6330464613845 -23.549475947984835),5.0,6.0,1940.0,,,
13,4.0,4,"Livro de Emplacamento. n,27. p,123",Cintia,8/10/2018,POINT(-46.6330464613845 -23.549475947984835),9.0,5.0,1908.0,5.0,5.0,1940.0
13,2.0,2 tinta,"Livro de Emplacamento. n,27. p,123",Cintia,8/10/2018,POINT(-46.6330464613845 -23.549475947984835),9.0,4.0,1908.0,9.0,4.0,1908.0
13,104.0,104,"Livro de Emplacamento. n,27. p,123",Cintia,8/10/2018,POINT(-46.63211132821424 -23.549391093547243),5.0,6.0,1940.0,,,
13,32.0,32,"Livro de Emplacamento. n,27. p,123",Cintia,8/10/2018,POINT(-46.63211132821424 -23.549391093547243),9.0,5.0,1908.0,5.0,5.0,1940.0
13,18.0,18,"Livro de Emplacamento. n,27. p,123",Cintia,8/10/2018,POINT(-46.63211132821424 -23.549391093547243),9.0,4.0,1908.0,9.0,4.0,1908.0
13,200.0,200,"Livro de Emplacamento. n,27. p,123",Cintia,8/10/2018,POINT(-46.63117706128942 -23.549293426748893),5.0,6.0,1940.0,,,
13,210.0,210,"Livro de Emplacamento. n,27. p,123",Cintia,8/10/2018,POINT(-46.63117706128942 -23.549293426748893),5.0,5.0,1940.0,5.0,5.0,1940.0
13,47.0,47,"Livro de Emplacamento. n,27. p,123",Cintia,8/10/2018,POINT(-46.63266616130571 -23.549448006804703),5.0,6.0,1940.0,,,
